date,sw_419051
1910-07-20,7.25
1910-07-21,8.9000000000000004
1910-07-22,7.75
1910-07-23,10.0
1910-07-24,10.0
1910-07-25,10.549999999999999
1910-07-26,8.6500000000000004
1910-07-27,8.9000000000000004
1910-07-28,9.6999999999999993
1910-07-29,9.6999999999999993
1910-07-30,10.25
1910-07-31,10.25
1910-08-01,9.4499999999999993
1910-08-02,10.550000000000001
1910-08-03,7.75
1910-08-04,9.4499999999999993
1910-08-05,8.0500000000000007
1910-08-06,9.1500000000000004
1910-08-07,9.1500000000000004
1910-08-08,10.0
1910-08-09,13.649999999999999
1910-08-10,14.700000000000001
1910-08-11,11.65
1910-08-12,11.4
1910-08-13,11.700000000000001
1910-08-14,11.700000000000001
1910-08-15,11.4
1910-08-16,13.35
1910-08-17,16.399999999999999
