date,gw_shallow,gw_deep
1989-05-02,4.32895799,0
1989-05-03,4.32895799,0
1989-05-04,4.32895799,0
1989-05-05,4.32895799,0
1989-05-06,4.32895799,0
1989-05-07,4.32895799,0
1989-05-08,4.32895799,0
1989-05-09,4.32895799,0
1989-05-10,4.32895799,0
1989-05-11,4.32895799,0
1989-05-12,4.32895799,0
1989-05-13,4.32895799,0
1989-05-14,4.32895799,0
1989-05-15,4.32895799,0
1989-05-16,4.32895799,0
1989-05-17,4.32895799,0
1989-05-18,4.32895799,0
1989-05-19,4.32895799,0
1989-05-20,4.32895799,0
1989-05-21,4.32895799,0
1989-05-22,4.32895799,0
1989-05-23,4.32895799,0
1989-05-24,4.32895799,0
1989-05-25,4.32895799,0
1989-05-26,4.32895799,0
1989-05-27,4.32895799,0
1989-05-28,4.32895799,0
1989-05-29,4.32895799,0
1989-05-30,4.32895799,0
1989-05-31,4.32895799,0
1989-06-01,4.32895799,0
1989-06-02,4.32895799,0
1989-06-03,4.32895799,0
1989-06-04,4.32895799,0
1989-06-05,4.32895799,0
1989-06-06,4.32895799,0
1989-06-07,4.32895799,0
1989-06-08,4.32895799,0
1989-06-09,4.32895799,0
1989-06-10,4.32895799,0
1989-06-11,4.32895799,0
1989-06-12,4.32895799,0
1989-06-13,4.32895799,0
1989-06-14,4.32895799,0
1989-06-15,4.32895799,0
1989-06-16,4.32895799,0
1989-06-17,4.32895799,0
1989-06-18,4.32895799,0
1989-06-19,4.32895799,0
1989-06-20,4.32895799,0
1989-06-21,4.32895799,0
1989-06-22,4.32895799,0
1989-06-23,4.32895799,0
1989-06-24,4.32895799,0
1989-06-25,4.32895799,0
1989-06-26,4.32895799,0
1989-06-27,4.32895799,0
1989-06-28,4.32895799,0
1989-06-29,4.32895799,0
1989-06-30,4.32895799,0
1989-07-01,4.32895799,0
1989-07-02,4.32895799,0
1989-07-03,4.32895799,0
1989-07-04,4.32895799,0
1989-07-05,4.32895799,0
1989-07-06,4.32895799,0
1989-07-07,4.32895799,0
1989-07-08,4.32895799,0
1989-07-09,4.32895799,0
1989-07-10,4.32895799,0
1989-07-11,4.32895799,0
1989-07-12,4.32895799,0
1989-07-13,4.32895799,0
1989-07-14,4.32895799,0
1989-07-15,4.32895799,0
1989-07-16,4.32895799,0
1989-07-17,4.32895799,0
1989-07-18,4.32895799,0
1989-07-19,4.32895799,0
