"Time","GW036186",""
"and","110.00",""
"Date","Bore level below MP",""
"","Mean","Qual"
00:00:00 16/11/2005,       9.060,      4
00:00:00 17/11/2005,       9.039,      4
00:00:00 18/11/2005,       9.015,      4
00:00:00 19/11/2005,       8.990,      4
00:00:00 20/11/2005,       8.990,      4
00:00:00 21/11/2005,       9.004,      4
00:00:00 22/11/2005,       9.001,      4
00:00:00 23/11/2005,       8.993,      4
00:00:00 24/11/2005,       8.971,      4
00:00:00 25/11/2005,       8.951,      4
00:00:00 26/11/2005,       8.923,      4
00:00:00 27/11/2005,       8.903,      4
00:00:00 28/11/2005,       8.902,      4
00:00:00 29/11/2005,       8.872,      4
00:00:00 30/11/2005,       8.861,      4
00:00:00 01/12/2005,       8.858,      4
00:00:00 02/12/2005,       8.845,      4
00:00:00 03/12/2005,       8.831,      4
00:00:00 04/12/2005,       8.817,      4
00:00:00 05/12/2005,       8.805,      4
00:00:00 06/12/2005,       8.794,      4
00:00:00 07/12/2005,       8.778,      4
00:00:00 08/12/2005,       8.777,      4
00:00:00 09/12/2005,       8.775,      4
00:00:00 10/12/2005,       8.773,      4
00:00:00 11/12/2005,       8.760,      4
00:00:00 12/12/2005,       8.750,      4
00:00:00 13/12/2005,       8.732,      4
00:00:00 14/12/2005,       8.767,      4
00:00:00 15/12/2005,       8.785,      4
00:00:00 16/12/2005,       8.766,      4
00:00:00 17/12/2005,       8.733,      4
00:00:00 18/12/2005,       8.735,      4
00:00:00 19/12/2005,       8.739,      4
00:00:00 20/12/2005,       8.734,      4
00:00:00 21/12/2005,       8.714,      4
00:00:00 22/12/2005,       8.695,      4
00:00:00 23/12/2005,       8.675,      4
00:00:00 24/12/2005,       8.661,      4
00:00:00 25/12/2005,       8.683,      4
00:00:00 26/12/2005,       8.705,      4
00:00:00 27/12/2005,       8.731,      4
00:00:00 28/12/2005,       8.754,      4
00:00:00 29/12/2005,       8.800,      4
00:00:00 30/12/2005,       8.853,      4
00:00:00 31/12/2005,       8.881,      4
00:00:00 01/01/2006,       8.889,      4
00:00:00 02/01/2006,       8.896,      4
00:00:00 03/01/2006,       8.913,      4
00:00:00 04/01/2006,       8.942,      4
00:00:00 05/01/2006,       8.973,      4
00:00:00 06/01/2006,       9.023,      4
00:00:00 07/01/2006,       9.059,      4
00:00:00 08/01/2006,       9.105,      4
00:00:00 09/01/2006,       9.139,      4
00:00:00 10/01/2006,       9.177,      4
00:00:00 11/01/2006,       9.179,      4
00:00:00 12/01/2006,       9.290,      4
00:00:00 13/01/2006,       9.428,      4
00:00:00 14/01/2006,       9.621,      4
00:00:00 15/01/2006,       9.661,      4
00:00:00 16/01/2006,       9.681,      4
00:00:00 17/01/2006,       9.531,      4
00:00:00 18/01/2006,       9.387,      4
00:00:00 19/01/2006,       9.391,      4
00:00:00 20/01/2006,       9.394,      4
00:00:00 21/01/2006,       9.397,      4
00:00:00 22/01/2006,       9.411,      4
00:00:00 23/01/2006,       9.411,      4
00:00:00 24/01/2006,       9.429,      4
00:00:00 25/01/2006,       9.479,      4
00:00:00 26/01/2006,       9.495,      4
00:00:00 27/01/2006,       9.496,      4
00:00:00 28/01/2006,       9.512,      4
00:00:00 29/01/2006,       9.541,      4
00:00:00 30/01/2006,       9.555,      4
00:00:00 31/01/2006,       9.576,      4
00:00:00 01/02/2006,       9.608,      4
00:00:00 02/02/2006,       9.634,      4
00:00:00 03/02/2006,       9.661,      4
00:00:00 04/02/2006,       9.695,      4
00:00:00 05/02/2006,       9.727,      4
00:00:00 06/02/2006,       9.736,      4
00:00:00 07/02/2006,       9.747,      4
00:00:00 08/02/2006,       9.790,      4
00:00:00 09/02/2006,       9.784,      4
00:00:00 10/02/2006,       9.782,      4
00:00:00 11/02/2006,       9.799,      4
00:00:00 12/02/2006,       9.821,      4
00:00:00 13/02/2006,       9.856,      4
00:00:00 14/02/2006,       9.893,      4
00:00:00 15/02/2006,       9.903,      4
00:00:00 16/02/2006,       9.837,      4
00:00:00 17/02/2006,       9.743,      4
00:00:00 18/02/2006,       9.672,      4
00:00:00 19/02/2006,       9.608,      4
00:00:00 20/02/2006,       9.572,      4
00:00:00 21/02/2006,       9.553,      4
00:00:00 22/02/2006,       9.539,      4
00:00:00 23/02/2006,       9.532,      4
00:00:00 24/02/2006,       9.528,      4
00:00:00 25/02/2006,       9.519,      4
00:00:00 26/02/2006,       9.537,      4
00:00:00 27/02/2006,       9.589,      4
00:00:00 28/02/2006,       9.615,      4
00:00:00 01/03/2006,       9.610,     10
00:00:00 02/03/2006,       9.595,     10
00:00:00 03/03/2006,       9.580,     10
00:00:00 04/03/2006,       9.579,     10
00:00:00 05/03/2006,       9.556,     10
00:00:00 06/03/2006,       9.517,     10
00:00:00 07/03/2006,       9.508,     10
00:00:00 08/03/2006,       9.513,     10
00:00:00 09/03/2006,       9.513,     10
00:00:00 10/03/2006,       9.502,     10
00:00:00 11/03/2006,       9.502,     10
00:00:00 12/03/2006,       9.510,     10
00:00:00 13/03/2006,       9.532,     10
00:00:00 14/03/2006,       9.535,     10
00:00:00 15/03/2006,       9.538,     10
00:00:00 16/03/2006,       9.530,     10
00:00:00 17/03/2006,       9.526,     10
00:00:00 18/03/2006,       9.548,     10
00:00:00 19/03/2006,       9.548,     10
00:00:00 20/03/2006,       9.556,     10
00:00:00 21/03/2006,       9.576,     10
00:00:00 22/03/2006,       9.588,     10
00:00:00 23/03/2006,       9.605,     10
00:00:00 24/03/2006,       9.600,     10
00:00:00 25/03/2006,       9.587,     10
00:00:00 26/03/2006,       9.575,     10
00:00:00 27/03/2006,       9.565,     10
00:00:00 28/03/2006,       9.568,     10
00:00:00 29/03/2006,       9.568,     10
00:00:00 30/03/2006,       9.561,     10
00:00:00 31/03/2006,       9.539,     10
00:00:00 01/04/2006,       9.534,     10
00:00:00 02/04/2006,       9.550,     10
00:00:00 03/04/2006,       9.545,     10
00:00:00 04/04/2006,       9.535,     10
00:00:00 05/04/2006,       9.529,     10
00:00:00 06/04/2006,       9.544,     10
00:00:00 07/04/2006,       9.542,     10
00:00:00 08/04/2006,       9.543,     10
00:00:00 09/04/2006,       9.556,     10
00:00:00 10/04/2006,       9.567,     10
00:00:00 11/04/2006,       9.557,     10
00:00:00 12/04/2006,       9.570,     10
00:00:00 13/04/2006,       9.573,     10
00:00:00 14/04/2006,       9.560,     10
00:00:00 15/04/2006,       9.561,     10
00:00:00 16/04/2006,       9.564,     10
00:00:00 17/04/2006,       9.563,     10
00:00:00 18/04/2006,       9.555,     10
00:00:00 19/04/2006,       9.549,     10
00:00:00 20/04/2006,       9.545,     10
00:00:00 21/04/2006,       9.548,     10
00:00:00 22/04/2006,       9.555,     10
00:00:00 23/04/2006,       9.550,     10
00:00:00 24/04/2006,       9.550,     10
00:00:00 25/04/2006,       9.539,     10
00:00:00 26/04/2006,       9.533,     10
00:00:00 27/04/2006,       9.527,     10
00:00:00 28/04/2006,       9.514,     10
00:00:00 29/04/2006,       9.498,     10
00:00:00 30/04/2006,       9.502,     10
00:00:00 01/05/2006,       9.501,     10
00:00:00 02/05/2006,       9.517,     10
00:00:00 03/05/2006,       9.525,     10
00:00:00 04/05/2006,       9.520,     10
00:00:00 05/05/2006,       9.513,     10
00:00:00 06/05/2006,       9.507,     10
00:00:00 07/05/2006,       9.494,     10
00:00:00 08/05/2006,       9.518,     10
00:00:00 09/05/2006,       9.527,     10
00:00:00 10/05/2006,       9.523,     10
00:00:00 11/05/2006,       9.528,     10
00:00:00 12/05/2006,       9.530,     10
00:00:00 13/05/2006,       9.517,     10
00:00:00 14/05/2006,       9.505,     10
00:00:00 15/05/2006,       9.511,     10
00:00:00 16/05/2006,       9.524,     10
00:00:00 17/05/2006,       9.526,     10
00:00:00 18/05/2006,       9.515,     10
00:00:00 19/05/2006,       9.510,     10
00:00:00 20/05/2006,       9.509,     10
00:00:00 21/05/2006,       9.517,     10
00:00:00 22/05/2006,       9.500,     10
00:00:00 23/05/2006,       9.487,     10
00:00:00 24/05/2006,       9.478,     10
00:00:00 25/05/2006,       9.490,     10
00:00:00 26/05/2006,       9.493,     10
00:00:00 27/05/2006,       9.499,     10
00:00:00 28/05/2006,       9.495,     10
00:00:00 29/05/2006,       9.496,     10
00:00:00 30/05/2006,       9.500,     10
00:00:00 31/05/2006,       9.484,     10
00:00:00 01/06/2006,       9.470,     10
00:00:00 02/06/2006,       9.471,     10
00:00:00 03/06/2006,       9.487,     10
00:00:00 04/06/2006,       9.518,     10
00:00:00 05/06/2006,       9.525,     10
00:00:00 06/06/2006,       9.542,     10
00:00:00 07/06/2006,       9.533,     10
