"Time","GW036186",""
"and","110.00",""
"Date","Bore level below MP",""
"","Mean","Qual"
00:00:00 08/11/2008,      13.196,    100
00:00:00 09/11/2008,      13.201,    100
00:00:00 10/11/2008,      13.199,    100
00:00:00 11/11/2008,      13.215,    100
00:00:00 12/11/2008,      13.232,    100
00:00:00 13/11/2008,      13.246,    100
00:00:00 14/11/2008,      13.262,    100
00:00:00 15/11/2008,      13.275,    100
00:00:00 16/11/2008,      13.287,    100
00:00:00 17/11/2008,      13.299,    100
00:00:00 18/11/2008,      13.290,    100
00:00:00 19/11/2008,      13.276,    100
00:00:00 20/11/2008,      13.260,    100
00:00:00 21/11/2008,      13.251,    100
00:00:00 22/11/2008,      13.244,    100
00:00:00 23/11/2008,      13.245,    100
00:00:00 24/11/2008,      13.247,    100
00:00:00 25/11/2008,      13.245,    100
00:00:00 26/11/2008,      13.238,    100
00:00:00 27/11/2008,      13.232,    100
00:00:00 28/11/2008,      13.223,    100
00:00:00 29/11/2008,      13.223,    100
00:00:00 30/11/2008,      13.228,    100
00:00:00 01/12/2008,      13.222,    100
00:00:00 02/12/2008,      13.212,    100
00:00:00 03/12/2008,      13.206,    100
00:00:00 04/12/2008,      13.198,    100
00:00:00 05/12/2008,      13.183,    100
00:00:00 06/12/2008,      13.166,    100
00:00:00 07/12/2008,      13.155,    100
00:00:00 08/12/2008,      13.147,    100
00:00:00 09/12/2008,      13.132,    100
00:00:00 10/12/2008,      13.120,    100
00:00:00 11/12/2008,      13.118,    100
00:00:00 12/12/2008,      13.109,    100
00:00:00 13/12/2008,      13.091,    100
00:00:00 14/12/2008,      13.098,    100
00:00:00 15/12/2008,      13.101,    100
00:00:00 16/12/2008,      13.097,    100
00:00:00 17/12/2008,      13.085,    100
00:00:00 18/12/2008,      13.071,    100
00:00:00 19/12/2008,      13.067,    100
00:00:00 20/12/2008,      13.063,    100
00:00:00 21/12/2008,      13.059,    100
00:00:00 22/12/2008,      13.050,    100
00:00:00 23/12/2008,      13.033,    100
00:00:00 24/12/2008,      13.026,    100
00:00:00 25/12/2008,      13.023,    100
00:00:00 26/12/2008,      13.020,    100
00:00:00 27/12/2008,      13.014,    100
00:00:00 28/12/2008,      13.001,    100
00:00:00 29/12/2008,      13.001,    100
00:00:00 30/12/2008,      13.002,    100
00:00:00 31/12/2008,      13.004,    100
00:00:00 01/01/2009,      12.997,    100
00:00:00 02/01/2009,      13.016,    100
00:00:00 03/01/2009,      13.040,    100
00:00:00 04/01/2009,      13.051,    100
00:00:00 05/01/2009,      13.062,    100
00:00:00 06/01/2009,      13.073,    100
00:00:00 07/01/2009,      13.096,    100
00:00:00 08/01/2009,      13.122,    100
00:00:00 09/01/2009,      13.144,    100
00:00:00 10/01/2009,      13.157,    100
00:00:00 11/01/2009,      13.170,    100
00:00:00 12/01/2009,      13.187,    100
00:00:00 13/01/2009,      13.190,    100
00:00:00 14/01/2009,      13.191,    100
00:00:00 15/01/2009,      13.200,    100
00:00:00 16/01/2009,      13.206,    100
00:00:00 17/01/2009,      13.228,    100
00:00:00 18/01/2009,      13.265,    100
00:00:00 19/01/2009,      13.358,    100
00:00:00 20/01/2009,      13.587,    100
00:00:00 21/01/2009,      13.670,    100
00:00:00 22/01/2009,      13.725,    100
00:00:00 23/01/2009,      13.762,    100
00:00:00 24/01/2009,      13.796,    100
00:00:00 25/01/2009,      13.840,    100
00:00:00 26/01/2009,      13.844,    100
00:00:00 27/01/2009,      13.599,    100
00:00:00 28/01/2009,      13.540,    100
00:00:00 29/01/2009,      13.541,    100
00:00:00 30/01/2009,      13.550,    100
00:00:00 31/01/2009,      13.587,    100
00:00:00 01/02/2009,      13.617,    100
00:00:00 02/02/2009,      13.639,    100
00:00:00 03/02/2009,      13.647,    100
00:00:00 04/02/2009,      13.663,    100
00:00:00 05/02/2009,      13.660,    100
00:00:00 06/02/2009,      13.658,    100
00:00:00 07/02/2009,      13.652,    100
00:00:00 08/02/2009,      13.660,    100
00:00:00 09/02/2009,      13.682,    100
00:00:00 10/02/2009,      13.702,    100
00:00:00 11/02/2009,      13.727,    100
00:00:00 12/02/2009,      13.739,    100
00:00:00 13/02/2009,      13.751,    100
00:00:00 14/02/2009,      13.740,    100
00:00:00 15/02/2009,      13.715,    100
00:00:00 16/02/2009,      13.692,    100
00:00:00 17/02/2009,      13.663,    100
00:00:00 18/02/2009,      13.649,    100
00:00:00 19/02/2009,      13.637,    100
00:00:00 20/02/2009,      13.627,    100
00:00:00 21/02/2009,      13.618,    100
00:00:00 22/02/2009,      13.610,    100
00:00:00 23/02/2009,      13.601,    100
00:00:00 24/02/2009,      13.594,    100
00:00:00 25/02/2009,      13.584,    100
00:00:00 26/02/2009,      13.578,    100
00:00:00 27/02/2009,      13.575,    100
00:00:00 28/02/2009,      13.570,    100
00:00:00 01/03/2009,      13.585,    100
00:00:00 02/03/2009,      13.607,    100
00:00:00 03/03/2009,      13.619,    100
00:00:00 04/03/2009,      13.626,    100
00:00:00 05/03/2009,      13.637,    100
00:00:00 06/03/2009,      13.641,    100
00:00:00 07/03/2009,      13.646,    100
00:00:00 08/03/2009,      13.653,    100
00:00:00 09/03/2009,      13.648,    100
00:00:00 10/03/2009,      13.631,    100
00:00:00 11/03/2009,      13.618,    100
00:00:00 12/03/2009,      13.607,    100
00:00:00 13/03/2009,      13.596,    100
00:00:00 14/03/2009,      13.584,    100
00:00:00 15/03/2009,      13.581,    100
00:00:00 16/03/2009,      13.583,    100
00:00:00 17/03/2009,      13.576,    100
00:00:00 18/03/2009,      13.566,    100
00:00:00 19/03/2009,      13.558,    100
00:00:00 20/03/2009,      13.552,    100
00:00:00 21/03/2009,      13.545,    100
00:00:00 22/03/2009,      13.537,    100
00:00:00 23/03/2009,      13.535,    100
00:00:00 24/03/2009,      13.534,    100
00:00:00 25/03/2009,      13.526,    100
00:00:00 26/03/2009,      13.518,    100
00:00:00 27/03/2009,      13.523,    100
00:00:00 28/03/2009,      13.523,    100
00:00:00 29/03/2009,      13.513,    100
00:00:00 30/03/2009,      13.506,    100
00:00:00 31/03/2009,      13.509,    100
00:00:00 01/04/2009,      13.501,    100
00:00:00 02/04/2009,      13.503,    100
00:00:00 03/04/2009,      13.498,    100
00:00:00 04/04/2009,      13.483,    100
00:00:00 05/04/2009,      13.480,    100
00:00:00 06/04/2009,      13.480,    100
00:00:00 07/04/2009,      13.481,    100
00:00:00 08/04/2009,      13.480,    100
00:00:00 09/04/2009,      13.474,    100
00:00:00 10/04/2009,      13.474,    100
00:00:00 11/04/2009,      13.472,    100
00:00:00 12/04/2009,      13.467,    100
00:00:00 13/04/2009,      13.457,    100
00:00:00 14/04/2009,      13.454,    100
00:00:00 15/04/2009,      13.453,    100
00:00:00 16/04/2009,      13.452,    100
00:00:00 17/04/2009,      13.450,    100
00:00:00 18/04/2009,      13.451,    100
00:00:00 19/04/2009,      13.449,    100
00:00:00 20/04/2009,      13.449,    100
00:00:00 21/04/2009,      13.447,    100
00:00:00 22/04/2009,      13.446,    100
00:00:00 23/04/2009,      13.441,    100
00:00:00 24/04/2009,      13.433,    100
00:00:00 25/04/2009,      13.434,    100
00:00:00 26/04/2009,      13.433,    100
00:00:00 27/04/2009,      13.439,    100
00:00:00 28/04/2009,      13.438,    100
00:00:00 29/04/2009,      13.435,    100
00:00:00 30/04/2009,      13.434,    100
00:00:00 01/05/2009,      13.434,    100
00:00:00 02/05/2009,      13.431,    100
00:00:00 03/05/2009,      13.430,    100
00:00:00 04/05/2009,      13.430,    100
00:00:00 05/05/2009,      13.432,    100
00:00:00 06/05/2009,      13.426,    100
00:00:00 07/05/2009,      13.424,    100
00:00:00 08/05/2009,      13.422,    100
00:00:00 09/05/2009,      13.418,    100
00:00:00 10/05/2009,      13.418,    100
00:00:00 11/05/2009,      13.417,    100
00:00:00 12/05/2009,      13.416,    100
00:00:00 13/05/2009,      13.412,    100
00:00:00 14/05/2009,      13.412,    100
00:00:00 15/05/2009,      13.411,    100
00:00:00 16/05/2009,      13.410,    100
00:00:00 17/05/2009,      13.410,    100
00:00:00 18/05/2009,      13.411,    100
00:00:00 19/05/2009,      13.405,    100
00:00:00 20/05/2009,      13.400,    100
00:00:00 21/05/2009,      13.400,    100
00:00:00 22/05/2009,      13.399,    100
00:00:00 23/05/2009,      13.401,    100
00:00:00 24/05/2009,      13.405,    100
00:00:00 25/05/2009,      13.405,    100
00:00:00 26/05/2009,      13.402,    100
00:00:00 27/05/2009,      13.400,    100
00:00:00 28/05/2009,      13.400,    100
00:00:00 29/05/2009,      13.402,    100
00:00:00 30/05/2009,      13.406,    100
00:00:00 31/05/2009,      13.406,    100
00:00:00 01/06/2009,      13.402,    100
00:00:00 02/06/2009,      13.398,    100
00:00:00 03/06/2009,      13.391,    100
00:00:00 04/06/2009,      13.386,    100
00:00:00 05/06/2009,      13.384,    100
00:00:00 06/06/2009,      13.380,    100
00:00:00 07/06/2009,      13.374,    100
00:00:00 08/06/2009,      13.377,    100
00:00:00 09/06/2009,      13.377,    100
00:00:00 10/06/2009,      13.379,    100
00:00:00 11/06/2009,      13.379,    100
00:00:00 12/06/2009,      13.375,    100
00:00:00 13/06/2009,      13.370,    100
00:00:00 14/06/2009,      13.370,    100
00:00:00 15/06/2009,      13.374,    100
00:00:00 16/06/2009,      13.383,    100
00:00:00 17/06/2009,      13.390,    100
00:00:00 18/06/2009,      13.397,    100
00:00:00 19/06/2009,      13.397,    100
00:00:00 20/06/2009,      13.398,    100
00:00:00 21/06/2009,      13.400,    100
00:00:00 22/06/2009,      13.401,    100
00:00:00 23/06/2009,      13.407,    100
00:00:00 24/06/2009,      13.411,    100
00:00:00 25/06/2009,      13.416,    100
00:00:00 26/06/2009,      13.415,    100
00:00:00 27/06/2009,      13.411,    100
00:00:00 28/06/2009,      13.418,    100
00:00:00 29/06/2009,      13.423,    100
00:00:00 30/06/2009,      13.420,    100
00:00:00 01/07/2009,      13.412,    100
00:00:00 02/07/2009,      13.416,    100
00:00:00 03/07/2009,      13.413,    100
00:00:00 04/07/2009,      13.415,    100
00:00:00 05/07/2009,      13.412,    100
00:00:00 06/07/2009,      13.408,    100
00:00:00 07/07/2009,      13.405,    100
00:00:00 08/07/2009,      13.406,    100
00:00:00 09/07/2009,      13.402,    100
00:00:00 10/07/2009,      13.394,    100
00:00:00 11/07/2009,      13.387,    100
00:00:00 12/07/2009,      13.381,    100
00:00:00 13/07/2009,      13.377,    100
00:00:00 14/07/2009,      13.375,    100
00:00:00 15/07/2009,      13.374,    100
00:00:00 16/07/2009,      13.376,    100
00:00:00 17/07/2009,      13.379,    100
00:00:00 18/07/2009,      13.375,    100
00:00:00 19/07/2009,      13.372,    100
00:00:00 20/07/2009,      13.370,    100
00:00:00 21/07/2009,      13.361,    100
00:00:00 22/07/2009,      13.351,    100
00:00:00 23/07/2009,      13.353,    100
00:00:00 24/07/2009,      13.361,    100
00:00:00 25/07/2009,      13.355,    100
00:00:00 26/07/2009,      13.343,    100
00:00:00 27/07/2009,      13.349,    100
00:00:00 28/07/2009,      13.352,    100
00:00:00 29/07/2009,      13.348,    100
00:00:00 30/07/2009,      13.344,    100
00:00:00 31/07/2009,      13.340,    100
00:00:00 01/08/2009,      13.339,    100
00:00:00 02/08/2009,      13.337,    100
00:00:00 03/08/2009,      13.335,    100
00:00:00 04/08/2009,      13.329,    100
00:00:00 05/08/2009,      13.329,    100
00:00:00 06/08/2009,      13.328,    100
00:00:00 07/08/2009,      13.320,    100
00:00:00 08/08/2009,      13.324,    100
00:00:00 09/08/2009,      13.321,    100
00:00:00 10/08/2009,      13.320,    100
00:00:00 11/08/2009,      13.317,    100
00:00:00 12/08/2009,      13.318,    100
00:00:00 13/08/2009,      13.329,    100
00:00:00 14/08/2009,      13.335,    100
00:00:00 15/08/2009,      13.339,    100
00:00:00 16/08/2009,      13.337,    100
00:00:00 17/08/2009,      13.347,    100
00:00:00 18/08/2009,      13.361,    100
00:00:00 19/08/2009,      13.364,    100
00:00:00 20/08/2009,      13.362,    100
00:00:00 21/08/2009,      13.361,    100
00:00:00 22/08/2009,      13.377,    100
00:00:00 23/08/2009,      13.374,    100
00:00:00 24/08/2009,      13.372,    100
00:00:00 25/08/2009,      13.383,    100
00:00:00 26/08/2009,      13.393,    100
00:00:00 27/08/2009,      13.395,    100
00:00:00 28/08/2009,      13.388,    100
00:00:00 29/08/2009,      13.376,    100
00:00:00 30/08/2009,      13.392,    100
00:00:00 31/08/2009,      13.397,    100
00:00:00 01/09/2009,      13.395,    100
00:00:00 02/09/2009,      13.391,    100
00:00:00 03/09/2009,      13.388,    100
00:00:00 04/09/2009,      13.381,    100
00:00:00 05/09/2009,      13.386,    100
00:00:00 06/09/2009,      13.389,    100
00:00:00 07/09/2009,      13.383,    100
00:00:00 08/09/2009,      13.390,    100
00:00:00 09/09/2009,      13.398,    100
00:00:00 10/09/2009,      13.402,    100
00:00:00 11/09/2009,      13.409,    100
00:00:00 12/09/2009,      13.408,    100
00:00:00 13/09/2009,      13.406,    100
00:00:00 14/09/2009,      13.405,    100
00:00:00 15/09/2009,      13.416,    100
00:00:00 16/09/2009,      13.428,    100
00:00:00 17/09/2009,      13.435,    100
00:00:00 18/09/2009,      13.448,    100
00:00:00 19/09/2009,      13.451,    100
00:00:00 20/09/2009,      13.444,    100
00:00:00 21/09/2009,      13.454,    100
00:00:00 22/09/2009,      13.456,    100
00:00:00 23/09/2009,      13.458,    100
00:00:00 24/09/2009,      13.475,    100
00:00:00 25/09/2009,      13.475,    100
00:00:00 26/09/2009,      13.473,    100
00:00:00 27/09/2009,      13.474,    100
00:00:00 28/09/2009,      13.472,    100
00:00:00 29/09/2009,      13.496,    100
00:00:00 30/09/2009,      13.517,    100
00:00:00 01/10/2009,      13.531,    100
00:00:00 02/10/2009,      13.537,    100
00:00:00 03/10/2009,      13.552,    100
00:00:00 04/10/2009,      13.565,    100
00:00:00 05/10/2009,      13.576,    100
00:00:00 06/10/2009,      13.598,    100
00:00:00 07/10/2009,      13.621,    100
00:00:00 08/10/2009,      13.643,    100
00:00:00 09/10/2009,      13.667,    100
00:00:00 10/10/2009,      13.678,    100
00:00:00 11/10/2009,      13.682,    100
00:00:00 12/10/2009,      13.689,    100
00:00:00 13/10/2009,      13.699,    100
00:00:00 14/10/2009,      13.712,    100
00:00:00 15/10/2009,      13.717,    100
00:00:00 16/10/2009,      13.716,    100
00:00:00 17/10/2009,      13.716,    100
00:00:00 18/10/2009,      13.710,    100
00:00:00 19/10/2009,      13.705,    100
00:00:00 20/10/2009,      13.708,    100
00:00:00 21/10/2009,      13.706,    100
00:00:00 22/10/2009,      13.710,    100
00:00:00 23/10/2009,      13.714,    100
00:00:00 24/10/2009,      13.703,    100
00:00:00 25/10/2009,      13.688,    100
00:00:00 26/10/2009,      13.682,    100
00:00:00 27/10/2009,      13.686,    100
00:00:00 28/10/2009,      13.682,    100
00:00:00 29/10/2009,      13.681,    100
00:00:00 30/10/2009,      13.682,    100
00:00:00 31/10/2009,      13.685,    100
00:00:00 01/11/2009,      13.687,    100
00:00:00 02/11/2009,      13.693,    100
00:00:00 03/11/2009,      13.697,    100
00:00:00 04/11/2009,      13.714,    100
00:00:00 05/11/2009,      13.724,    100
00:00:00 06/11/2009,      13.721,    100
00:00:00 07/11/2009,      13.715,    100
00:00:00 08/11/2009,      13.703,    100
00:00:00 09/11/2009,      13.691,    100
00:00:00 10/11/2009,      13.683,    100
00:00:00 11/11/2009,      13.680,    100
00:00:00 12/11/2009,      13.671,    100
00:00:00 13/11/2009,      13.667,    100
00:00:00 14/11/2009,      13.672,    100
00:00:00 15/11/2009,      13.668,    100
00:00:00 16/11/2009,      13.741,    100
00:00:00 17/11/2009,      14.063,    100
00:00:00 18/11/2009,      14.121,    100
00:00:00 19/11/2009,      14.127,    100
00:00:00 20/11/2009,      14.153,    100
00:00:00 21/11/2009,      14.173,    100
00:00:00 22/11/2009,      14.200,    100
00:00:00 23/11/2009,      14.224,    100
00:00:00 24/11/2009,      14.239,    100
00:00:00 25/11/2009,      14.257,    100
00:00:00 26/11/2009,      14.295,    100
00:00:00 27/11/2009,      14.154,    100
00:00:00 28/11/2009,      13.998,    100
00:00:00 29/11/2009,      13.999,    100
00:00:00 30/11/2009,      14.018,    100
00:00:00 01/12/2009,      14.039,    100
00:00:00 02/12/2009,      14.052,    100
00:00:00 03/12/2009,      14.060,    100
00:00:00 04/12/2009,      14.076,    100
00:00:00 05/12/2009,      14.078,    100
00:00:00 06/12/2009,      14.063,    100
00:00:00 07/12/2009,      14.046,    100
00:00:00 08/12/2009,      14.046,    100
00:00:00 09/12/2009,      14.043,    100
00:00:00 10/12/2009,      14.044,    100
00:00:00 11/12/2009,      14.049,    100
00:00:00 12/12/2009,      14.063,    100
00:00:00 13/12/2009,      14.073,    100
00:00:00 14/12/2009,      14.070,    100
00:00:00 15/12/2009,      14.067,      9
00:00:00 16/12/2009,      14.072,      9
00:00:00 17/12/2009,      14.093,      9
00:00:00 18/12/2009,      14.114,      9
00:00:00 19/12/2009,      14.121,      9
00:00:00 20/12/2009,      14.129,      9
00:00:00 21/12/2009,      14.148,      9
00:00:00 22/12/2009,      14.153,      9
00:00:00 23/12/2009,      14.150,      9
00:00:00 24/12/2009,      14.143,      9
00:00:00 25/12/2009,      14.144,      9
00:00:00 26/12/2009,      14.127,      9
00:00:00 27/12/2009,      14.098,      9
00:00:00 28/12/2009,      14.083,      9
00:00:00 29/12/2009,      14.079,      9
00:00:00 30/12/2009,      14.071,      9
00:00:00 31/12/2009,      14.060,      9
00:00:00 01/01/2010,      14.047,      9
00:00:00 02/01/2010,      14.031,      9
00:00:00 03/01/2010,      14.029,      9
00:00:00 04/01/2010,      14.021,      9
00:00:00 05/01/2010,      14.005,      9
00:00:00 06/01/2010,      13.988,      9
00:00:00 07/01/2010,      13.971,      9
00:00:00 08/01/2010,      13.955,      9
00:00:00 09/01/2010,      13.937,      9
00:00:00 10/01/2010,      13.919,      9
00:00:00 11/01/2010,      13.907,      9
00:00:00 12/01/2010,      13.900,      9
00:00:00 13/01/2010,      13.904,      9
00:00:00 14/01/2010,      13.903,      9
00:00:00 15/01/2010,      13.911,      9
00:00:00 16/01/2010,      13.916,      9
00:00:00 17/01/2010,      13.927,      9
00:00:00 18/01/2010,      13.949,      9
00:00:00 19/01/2010,      13.967,      9
00:00:00 20/01/2010,      13.980,      9
00:00:00 21/01/2010,      14.013,      9
00:00:00 22/01/2010,      14.050,      9
00:00:00 23/01/2010,      14.086,      9
00:00:00 24/01/2010,      14.112,      9
00:00:00 25/01/2010,      14.116,      9
00:00:00 26/01/2010,      14.125,      9
00:00:00 27/01/2010,      14.139,      9
00:00:00 28/01/2010,      14.141,      9
00:00:00 29/01/2010,      14.162,      9
00:00:00 30/01/2010,      14.182,      9
00:00:00 31/01/2010,      14.194,      9
00:00:00 01/02/2010,      14.209,      9
00:00:00 02/02/2010,      14.226,      9
00:00:00 03/02/2010,      14.242,      9
00:00:00 04/02/2010,      14.255,      9
00:00:00 05/02/2010,      14.250,      9
00:00:00 06/02/2010,      14.246,      9
00:00:00 07/02/2010,      14.232,      9
00:00:00 08/02/2010,      14.220,      9
00:00:00 09/02/2010,      14.207,      9
00:00:00 10/02/2010,      14.205,      9
00:00:00 11/02/2010,      14.197,      9
00:00:00 12/02/2010,      14.202,      9
00:00:00 13/02/2010,      14.212,      9
00:00:00 14/02/2010,      14.217,      9
00:00:00 15/02/2010,      14.208,      9
00:00:00 16/02/2010,      14.190,      9
00:00:00 17/02/2010,      14.164,      9
00:00:00 18/02/2010,      14.144,      9
00:00:00 19/02/2010,      14.123,      9
00:00:00 20/02/2010,      14.103,      9
00:00:00 21/02/2010,      14.089,      9
00:00:00 22/02/2010,      14.076,      9
00:00:00 23/02/2010,      14.062,      9
00:00:00 24/02/2010,      14.051,      9
00:00:00 25/02/2010,      14.046,      9
00:00:00 26/02/2010,      14.037,      9
00:00:00 27/02/2010,      14.019,      9
00:00:00 28/02/2010,      14.005,      9
00:00:00 01/03/2010,      13.990,      9
00:00:00 02/03/2010,      13.985,      9
00:00:00 03/03/2010,      13.977,      9
00:00:00 04/03/2010,      13.964,      9
00:00:00 05/03/2010,      13.952,      9
00:00:00 06/03/2010,      13.945,      9
00:00:00 07/03/2010,      13.933,      9
00:00:00 08/03/2010,      13.945,      9
00:00:00 09/03/2010,      13.949,      9
00:00:00 10/03/2010,      13.946,      9
00:00:00 11/03/2010,"",    201
00:00:00 12/03/2010,"",    201
00:00:00 13/03/2010,"",    201
00:00:00 14/03/2010,"",    201
00:00:00 15/03/2010,"",    201
00:00:00 16/03/2010,"",    201
00:00:00 17/03/2010,"",    201
00:00:00 18/03/2010,"",    201
00:00:00 19/03/2010,"",    201
00:00:00 20/03/2010,"",    201
00:00:00 21/03/2010,"",    201
00:00:00 22/03/2010,"",    201
00:00:00 23/03/2010,"",    201
00:00:00 24/03/2010,"",    201
00:00:00 25/03/2010,"",    201
00:00:00 26/03/2010,"",    201
00:00:00 27/03/2010,"",    201
00:00:00 28/03/2010,"",    201
00:00:00 29/03/2010,"",    201
00:00:00 30/03/2010,"",    201
00:00:00 31/03/2010,"",    201
00:00:00 01/04/2010,"",    201
00:00:00 02/04/2010,"",    201
00:00:00 03/04/2010,"",    201
00:00:00 04/04/2010,"",    201
00:00:00 05/04/2010,"",    201
00:00:00 06/04/2010,"",    201
00:00:00 07/04/2010,"",    201
00:00:00 08/04/2010,"",    201
00:00:00 09/04/2010,"",    201
00:00:00 10/04/2010,"",    201
00:00:00 11/04/2010,"",    201
00:00:00 12/04/2010,"",    201
00:00:00 13/04/2010,"",    201
00:00:00 14/04/2010,"",    201
00:00:00 15/04/2010,"",    201
00:00:00 16/04/2010,      13.671,      7
00:00:00 17/04/2010,      13.665,      7
00:00:00 18/04/2010,      13.659,      7
00:00:00 19/04/2010,      13.653,      7
00:00:00 20/04/2010,      13.646,      7
00:00:00 21/04/2010,      13.643,      7
00:00:00 22/04/2010,      13.640,      7
00:00:00 23/04/2010,      13.633,      7
00:00:00 24/04/2010,      13.624,      7
00:00:00 25/04/2010,      13.622,      7
00:00:00 26/04/2010,      13.627,      7
00:00:00 27/04/2010,      13.619,      7
00:00:00 28/04/2010,      13.616,      7
00:00:00 29/04/2010,      13.616,      7
00:00:00 30/04/2010,      13.611,      7
00:00:00 01/05/2010,      13.611,      7
00:00:00 02/05/2010,      13.604,      7
00:00:00 03/05/2010,      13.599,      7
00:00:00 04/05/2010,      13.589,      7
00:00:00 05/05/2010,      13.583,      7
00:00:00 06/05/2010,      13.589,      7
00:00:00 07/05/2010,      13.581,      7
00:00:00 08/05/2010,      13.577,      7
00:00:00 09/05/2010,      13.573,      7
00:00:00 10/05/2010,      13.567,      7
00:00:00 11/05/2010,      13.559,      7
00:00:00 12/05/2010,      13.565,      7
00:00:00 13/05/2010,      13.564,      7
00:00:00 14/05/2010,      13.554,      7
00:00:00 15/05/2010,      13.551,      7
00:00:00 16/05/2010,      13.549,      7
00:00:00 17/05/2010,      13.544,      7
00:00:00 18/05/2010,      13.540,      7
00:00:00 19/05/2010,      13.541,      7
00:00:00 20/05/2010,      13.536,      7
00:00:00 21/05/2010,      13.530,      7
00:00:00 22/05/2010,      13.528,      7
00:00:00 23/05/2010,      13.525,      7
00:00:00 24/05/2010,      13.517,      7
00:00:00 25/05/2010,      13.506,      7
00:00:00 26/05/2010,      13.503,      7
00:00:00 27/05/2010,      13.514,      7
00:00:00 28/05/2010,      13.510,      7
00:00:00 29/05/2010,      13.491,      7
00:00:00 30/05/2010,      13.490,      7
00:00:00 31/05/2010,      13.495,      7
00:00:00 01/06/2010,      13.499,      7
00:00:00 02/06/2010,      13.492,      7
00:00:00 03/06/2010,      13.489,      7
00:00:00 04/06/2010,      13.478,      7
00:00:00 05/06/2010,      13.477,      7
00:00:00 06/06/2010,      13.482,      7
00:00:00 07/06/2010,      13.485,      7
00:00:00 08/06/2010,      13.474,      7
00:00:00 09/06/2010,      13.466,      7
00:00:00 10/06/2010,      13.472,      7
00:00:00 11/06/2010,      13.466,      7
00:00:00 12/06/2010,      13.463,      7
00:00:00 13/06/2010,      13.468,      7
00:00:00 14/06/2010,      13.467,      7
00:00:00 15/06/2010,      13.458,      7
00:00:00 16/06/2010,      13.450,      7
00:00:00 17/06/2010,      13.438,      7
00:00:00 18/06/2010,      13.437,      7
00:00:00 19/06/2010,      13.442,      7
00:00:00 20/06/2010,      13.444,      7
00:00:00 21/06/2010,      13.448,      7
00:00:00 22/06/2010,      13.444,      7
00:00:00 23/06/2010,      13.441,      7
00:00:00 24/06/2010,      13.427,      7
00:00:00 25/06/2010,      13.419,      7
00:00:00 26/06/2010,      13.411,      7
00:00:00 27/06/2010,      13.411,      7
00:00:00 28/06/2010,      13.409,      7
00:00:00 29/06/2010,      13.409,      7
00:00:00 30/06/2010,      13.411,      7
00:00:00 01/07/2010,      13.426,      7
00:00:00 02/07/2010,      13.441,      7
00:00:00 03/07/2010,      13.440,      7
00:00:00 04/07/2010,      13.435,      7
00:00:00 05/07/2010,      13.425,      7
00:00:00 06/07/2010,      13.416,      7
00:00:00 07/07/2010,      13.424,      7
00:00:00 08/07/2010,      13.420,      7
00:00:00 09/07/2010,      13.421,      7
00:00:00 10/07/2010,      13.416,      7
00:00:00 11/07/2010,      13.410,      7
00:00:00 12/07/2010,      13.406,      7
00:00:00 13/07/2010,      13.398,      7
00:00:00 14/07/2010,      13.395,      7
00:00:00 15/07/2010,      13.405,      7
00:00:00 16/07/2010,      13.405,      7
00:00:00 17/07/2010,      13.401,      7
00:00:00 18/07/2010,      13.388,      7
00:00:00 19/07/2010,      13.380,      7
00:00:00 20/07/2010,      13.388,      7
00:00:00 21/07/2010,      13.391,      7
00:00:00 22/07/2010,      13.392,      7
00:00:00 23/07/2010,      13.388,      7
00:00:00 24/07/2010,      13.380,      7
00:00:00 25/07/2010,      13.375,      7
00:00:00 26/07/2010,      13.381,      7
00:00:00 27/07/2010,      13.375,      7
00:00:00 28/07/2010,      13.358,      7
00:00:00 29/07/2010,      13.352,      7
00:00:00 30/07/2010,      13.347,      7
00:00:00 31/07/2010,      13.347,      7
00:00:00 01/08/2010,      13.356,      7
00:00:00 02/08/2010,      13.347,      7
00:00:00 03/08/2010,      13.340,      7
00:00:00 04/08/2010,      13.338,      7
00:00:00 05/08/2010,      13.333,      7
00:00:00 06/08/2010,      13.334,      7
00:00:00 07/08/2010,      13.326,      7
00:00:00 08/08/2010,      13.314,      7
00:00:00 09/08/2010,      13.310,      7
00:00:00 10/08/2010,      13.289,      7
00:00:00 11/08/2010,      13.284,      7
00:00:00 12/08/2010,      13.281,      7
00:00:00 13/08/2010,      13.281,      7
00:00:00 14/08/2010,      13.270,      7
00:00:00 15/08/2010,      13.249,      7
00:00:00 16/08/2010,      13.240,      7
00:00:00 17/08/2010,      13.221,      7
00:00:00 18/08/2010,      13.189,      7
00:00:00 19/08/2010,      13.171,      7
00:00:00 20/08/2010,      13.161,      7
00:00:00 21/08/2010,      13.155,      7
00:00:00 22/08/2010,      13.141,      7
00:00:00 23/08/2010,      13.110,      7
00:00:00 24/08/2010,      13.106,      7
00:00:00 25/08/2010,      13.088,      7
00:00:00 26/08/2010,      13.075,      7
00:00:00 27/08/2010,      13.073,      7
00:00:00 28/08/2010,      13.063,      7
00:00:00 29/08/2010,      13.034,      7
00:00:00 30/08/2010,      13.002,      7
00:00:00 31/08/2010,      12.972,      7
00:00:00 01/09/2010,      12.942,      7
00:00:00 02/09/2010,      12.916,      7
00:00:00 03/09/2010,      12.904,      7
00:00:00 04/09/2010,      12.872,      7
00:00:00 05/09/2010,      12.871,      7
00:00:00 06/09/2010,      12.859,      7
00:00:00 07/09/2010,      12.837,      7
