Index,U.sw_419051,C.sw_419051,E.sw_419051,Q.sw_419051,Qq.sw_419051,Qs.sw_419051,Qd.sw_419051,G.gw_shallow,G.gw_deep,Uq.sw_419051,Us.sw_419051,Ud.sw_419051,R.gw_shallow,R.gw_deep,Gf.GwFlow,swE.sw_419051,S.gw_shallow,S.gw_deep,Glevel.gw_shallow.GW030130_1,Glevel.gw_shallow.GW030131_1,Glevel.gw_shallow.GW030132_2,Glevel.gw_shallow.GW036186_1,Glevel.gw_shallow.GW036187_1,Glevel.gw_deep.GW030129_1,Glevel.gw_deep.GW030130_2,Glevel.gw_deep.GW030133_1,Glevel.gw_deep.GW030134_1
2006-04-08,0,396622.561916757,1339.3204959259,13.4613662501,1.37395364008088E-005,0,13.4613533741,3925.2779466652,0,0,0,0,-4.4849340332,0,0,0,-305.807555773,-174721.246792766,-4.9581981066,-5.0518723692,-5.542916641,-7.9354837653,-7.1208168465,0,0,0,0
2006-04-09,0,397979.820313613,1357.2583968558,13.3982919301,8.97975483266328E-006,0,13.3982835148,3906.8870225666,0,0,0,0,-4.9926405838,0,0,0,-324.2426666422,-174734.645076281,-4.9599200365,-5.0539208745,-5.5460862551,-7.9455030426,-7.1274842647,0,0,0,0
2006-04-10,0,399451.861300892,1472.0409872797,13.3334853926,5.86890230517478E-006,0,13.3334798926,3887.9905400405,0,0,0,0,-5.5630026335,0,0,0,-343.1833359388,-174747.978556173,-4.9616893016,-5.0560256923,-5.5493430006,-7.9557977455,-7.1343349672,0,0,0,0
2006-04-11,0,400962.344598617,1510.4832977245,13.2668725395,3.8357410541319E-006,0,13.2668689448,3868.5670484315,0,0,0,0,-6.1566226641,0,0,0,-362.6510143184,-174761.245425118,-4.9635079102,-5.0581892119,-5.5526905742,-7.9663795601,-7.1413767308,0,0,0,0
2006-04-12,0,402521.635465176,1559.2908665589,13.1984725785,2.50692696339145E-006,0,13.1984702292,3848.6222506988,0,0,0,0,-6.7463275035,0,0,0,-382.6399988216,-174774.443895347,-4.9653753283,-5.0604107981,-5.5561279933,-7.9772453795,-7.148607488,0,0,0,0
2006-04-13,0,403950.927488061,1429.2920228852,13.1283665844,1.63845335518912E-006,0,13.1283650489,3828.1798545746,0,0,0,0,-7.3140310753,0,0,0,-403.1265817164,-174787.572260396,-4.9672893362,-5.0626878102,-5.5596511718,-7.9883822878,-7.1560186438,0,0,0,0
2006-04-14,0,387522.402805038,1605.2772988695,13.0836621094,1.07084467809895E-006,0,13.0836611059,3815.1443598024,0,0,0,240.3180181076,0.0481663336,0,0,0,-416.2062632592,-174800.655921502,-4.9685098409,-5.0641397917,-5.5618977956,-7.9954839558,-7.1607445126,0,0,0,0
2006-04-15,0,389032.689237875,1526.4312868938,13.0546488424,6.99872426017574E-007,0,13.0546481865,3806.68430609,0,0,0,0.2151459428,4.5945944741,0,0,0,-424.7105037421,-174813.710569689,-4.9693019501,-5.0650821296,-5.5633558575,-8.0000929479,-7.1638116078,0,0,0,0
2006-04-16,0,390507.105134825,1474.4158969502,13.0342876096,4.57415928488615E-007,0,13.0342871809,3800.7471165652,0,0,0,0,7.0970976561,0,0,0,-430.6918800375,-174826.74485687,-4.9698578452,-5.0657434538,-5.5643791123,-8.0033274971,-7.1659640676,0,0,0,0
2006-04-17,0,392141.586210434,1634.4810756093,13.0175852595,0.000000299,0,13.0175849793,3795.8768199504,0,0,0,0,8.1472883645,0,0,0,-435.6063634228,-174839.762441849,-4.9703138478,-5.0662859403,-5.5652184916,-8.0059808087,-7.1677297377,0,0,0,0
2006-04-18,0,393729.225541253,1587.6393308192,13.0010841631,1.9538718911742E-007,0,13.00108398,3791.0651931456,0,0,0,0,8.1894571752,0,0,0,-440.4621769982,-174852.763525829,-4.9707643572,-5.0668218918,-5.5660477593,-8.0086021573,-7.1694741377,0,0,0,0
2006-04-19,0,395402.521559439,1673.296018186,12.9824695619,1.27699290902884E-007,0,12.9824694422,3785.6372667984,0,0,0,0,7.554543095,0,0,0,-445.9342901159,-174865.745995271,-4.9712725703,-5.0674264909,-5.5669832442,-8.0115592626,-7.17144197,0,0,0,0
2006-04-20,1.74367187355529E-011,380829.934711201,1572.2672089613,12.9844297012,8.34665221686654E-008,0,12.984429623,3786.2088478467,0,1.74367187355529E-011,0,215.1459428,13.5560106713,0,0,0,-445.4068958382,-174878.730424894,-4.9712190536,-5.0673628243,-5.5668847342,-8.0112478683,-7.1712347498,0,0,0,0
2006-04-21,0,382171.901466372,1341.9667551713,12.9972629534,5.45512515084242E-008,0,12.9972629023,3789.9509818461,0,0,0,0,16.7393969017,0,0,0,-441.7089486094,-174891.727687796,-4.9708686801,-5.0669460002,-5.5662397899,-8.0092091737,-7.1698780822,0,0,0,0
2006-04-22,0,383316.304458684,1160.5478463692,13.0141427643,3.56530853786134E-008,0,13.0141427309,3794.8730737879,0,0,0,0.2151459428,17.9362346727,0,0,0,-436.8310434381,-174904.741830527,-4.9704078279,-5.0663977443,-5.5653914839,-8.0065276443,-7.1680936343,0,0,0,0
