"Index","P.sw_419051","T.sw_419051","swInflow.None","gwExtraction.gw_shallow","gwExtraction.gw_deep","swExtraction.sw_419051","Gobs.gw_shallow.GW030130_1","Gobs.gw_shallow.GW030131_1","Gobs.gw_shallow.GW030132_2","Gobs.gw_shallow.GW036186_1","Gobs.gw_shallow.GW036187_1","Gobs.gw_deep.GW030129_1","Gobs.gw_deep.GW030130_2","Gobs.gw_deep.GW030133_1","Gobs.gw_deep.GW030134_1","Qobs.sw_419051"
1990-08-27,0,13.9805865173761,,0.612560003432224,0,0.0456989247311829,,,,,,,,,,66.273
1990-08-28,0,17.0605865173761,,0.612560003432224,0,0.0456989247311829,,,,,,,,,,57.848
1990-08-29,0,17.8405865173761,,0.612560003432224,0,0.0456989247311829,,,,,,,,,,54.926
1990-08-30,0.02,19.0805865173761,,0.612560003432224,0,0.0456989247311829,,,,,,,,,,53.205
1990-08-31,11.85,16.8005865173761,,0.612560003432224,0,0.0456989247311829,,,,,,,,,,51.71
1990-09-01,7.72,16.6605865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,211.141
1990-09-02,0.52,17.2605865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,184.319
1990-09-03,0.24,15.3205865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,148.543
1990-09-04,1.31,15.2005865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,127.66
1990-09-05,0,15.4405865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,112.343
1990-09-06,0,17.9005865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,106.007
1990-09-07,0,18.0605865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,93.762
1990-09-08,0,18.5205865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,85.684
1990-09-09,0,19.4605865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,79.747
1990-09-10,0,20.1605865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,74.261
1990-09-11,0,20.6005865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,69.254
1990-09-12,0,20.0605865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,65.663
1990-09-13,8.96,11.0205865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,69.825
1990-09-14,12.22,12.9605865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,634.6
1990-09-15,9.69,17.4005865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,1674.871
1990-09-16,0.23,17.0605865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,773.03
1990-09-17,0,17.8205865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,514.826
1990-09-18,0,20.5405865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,392.433
1990-09-19,0,21.1205865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,315.157
1990-09-20,0,21.3405865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,259.075
1990-09-21,0,22.0205865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,219.353
1990-09-22,0,25.1005865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,182.62
1990-09-23,0,25.1205865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,155.389
1990-09-24,0,25.0005865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,138.447
1990-09-25,0,26.7805865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,121.093
1990-09-26,0,23.5605865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,107.117
1990-09-27,0.05,22.8405865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,96.581
1990-09-28,0,22.5605865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,88.716
1990-09-29,0,22.4405865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,82.095
1990-09-30,1.79,21.6805865173761,,0.785281147188528,0,0.0472222222222223,,,,,,,,,,76.226
1990-10-01,0.84,20.7005865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,72.478
1990-10-02,1.09,22.5605865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,69.493
1990-10-03,0,22.3005865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,66.294
1990-10-04,0,23.3205865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,63.291
1990-10-05,0,25.2805865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,60.355
1990-10-06,0.03,21.4205865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,57.839
1990-10-07,0.5,23.2005865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,55.556
1990-10-08,0.1,22.1805865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,53.301
1990-10-09,31.92,24.1405865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,71.613
1990-10-10,0.15,25.9005865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,75.306
1990-10-11,0,30.1605865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,58.345
1990-10-12,0,17.3205865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,50.744
1990-10-13,0,20.2405865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,47.078
1990-10-14,0,22.7205865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,44.389
1990-10-15,0,27.0005865173761,,0.59711499659197,0,0.0456989247311829,-4.72,-4.75,-5.25,-7.21,-6.56,,-9.97,-8.72,-8.74,41.465
1990-10-16,0.38,27.8405865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,38.551
1990-10-17,0.18,25.2805865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,37.1
1990-10-18,0,27.2005865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,36.411
1990-10-19,0.04,22.3605865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,36.396
1990-10-20,12.43,20.1005865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,36.064
1990-10-21,0,21.5005865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,34.803
